personal_goal_id,personal_goal_title,personal_goal_name,personal_goal_description,personal_goal_position
psng-019b0d1f-0160-7e30-b9fa-a144a2629a36,Grade Booster,Improve GPA,Work towards raising overall academic performance.,0
psng-019b0d1f-0161-74be-838f-b6030e29e854,Master's Foundation,Master a specific subject,Become proficient in a particular course or subject area.,1
psng-019b0d1f-0161-74be-838f-b604c12ab3c6,Study Squad Captain,Develop better study habits,Create and maintain effective study routines.,2
psng-019b0d1f-0161-74be-838f-b6050ebd162d,Thesis Titan,Complete thesis/capstone project,Successfully finish final year research or project.,3
psng-019b0d1f-0161-74be-838f-b606d81570fd,Code Commander,Learn a new programming language,Gain proficiency in coding with a new language.,4
psng-019b0d1f-0161-74be-838f-b60740abff5c,Dean's List Achiever,Achieve dean's list,Earn recognition for academic excellence.,5
psng-019b0d1f-0161-74be-838f-b608294843df,Attendance Hero,Attend all classes,Maintain perfect attendance.,6
psng-019b0d1f-0161-74be-838f-b6095bd733ed,Bookworm Challenge,Read more books,Expand knowledge through regular reading.,7
psng-019b0d1f-0161-74be-838f-b60a76d9e66f,Time Master,Improve time management,Better organize academic and personal time.,8
psng-019b0d1f-0161-74be-838f-b60b8908b5ec,Study Partner Pro,Join study group,Collaborate with peers for academic success.,9
psng-019b0d1f-0161-74be-838f-b60c4f3b7077,Conference Presenter,Present at conference,Share research or project at academic event.,10
psng-019b0d1f-0161-74be-838f-b60d8689aa40,Honor Society Member,Join academic honor society,Earn membership in scholastic organization.,11
psng-019b0d1f-0161-74be-838f-b60e9b7dd136,MOOC Completer,Complete online course,Finish MOOC or additional learning program.,12
psng-019b0d1f-0161-74be-838f-b60f3e90f62f,Internship Hunter,Secure an internship,Find and obtain relevant work experience.,13
psng-019b0d1f-0161-74be-838f-b610999689b9,Portfolio Builder,Build a professional portfolio,Create showcase of work and achievements.,14
psng-019b0d1f-0161-74be-838f-b6119be870b5,Workshop Warrior,Attend career workshops,Participate in professional development events.,15
psng-019b0d1f-0161-74be-838f-b6128ec6b8f2,Resume Revamp,Update resume and LinkedIn,Improve professional online presence.,16
psng-019b0d1f-0161-74be-838f-b613b2c57abd,Interview Master,Learn interview skills,Practice and improve interview techniques.,17
psng-019b0d1f-0161-74be-838f-b614007fb659,Career Explorer,Identify career path,Explore and decide on professional direction.,18
psng-019b0d1f-0161-74be-838f-b6154510da59,Skill-Up Scholar,Develop technical skills,Learn job-specific tools or software.,19
psng-019b0d1f-0161-74be-838f-b61698b4649f,Mentee Match,Find a mentor,Connect with professional for guidance.,20
psng-019b0d1f-0161-74be-838f-b617a264d654,Network Newbie,Attend networking events,Participate in career fairs and mixers.,21
psng-019b0d1f-0161-74be-838f-b6188d5aeaeb,Certified Pro,Complete online certification,Earn credential in relevant field.,22
psng-019b0d1f-0161-74be-838f-b619abf9c6d9,Volunteer Champion,Volunteer regularly,Contribute time to community service.,23
psng-019b0d1f-0161-74be-838f-b61aac4d5c0d,Event Organizer,Organize campus event,Plan and execute student activity.,24
psng-019b0d1f-0161-74be-838f-b61bea511302,Peer Mentor,Mentor younger students,Provide guidance to underclassmen.,25
psng-019b0d1f-0161-74be-838f-b61cba68ebef,Eco Warrior,Join environmental initiative,Participate in sustainability efforts.,26
psng-019b0d1f-0161-74be-838f-b61d901438d5,Club Founder,Start a student organization,Create new campus group or club.,27
psng-019b0d1f-0161-74be-838f-b61e8eecc2cb,Blood Donor,Participate in blood drive,Donate blood regularly.,28
psng-019b0d1f-0161-74be-838f-b61f26a5a627,Local Supporter,Support local businesses,Shop and eat locally when possible.,29
psng-019b0d1f-0161-74be-838f-b62042508e7e,Culture Connector,Join cultural organization,Connect with cultural or ethnic student groups.,30
psng-019b0d1f-0161-74be-838f-b6219521d18c,Cause Advocate,Raise awareness for cause,Advocate for important issue.,31
psng-019b0d1f-0161-74be-838f-b62238351118,Campus Connector,Build campus connections,Get to know professors and staff.,32
psng-019b0d1f-0161-74be-838f-b623ad3653f8,Music Maker,Learn a musical instrument,Develop musical skills and practice regularly.,33
psng-019b0d1f-0161-74be-838f-b6249decc974,Project Lead,Start a creative project,Begin blog podcast art series etc.,34
psng-019b0d1f-0161-74be-838f-b625025cc9ce,Word Wizard,Improve writing skills,Enhance creative or academic writing.,35
psng-019b0d1f-0161-74be-838f-b626815fa3c5,Lens Master,Learn photography,Develop photography skills and techniques.,36
psng-019b0d1f-0161-74be-838f-b6272ca7d5f5,Stage Star,Join a performance group,Participate in dance theater or music ensemble.,37
psng-019b0d1f-0161-74be-838f-b628048d446b,Art Adventurer,Start painting or drawing,Develop visual art skills.,38
psng-019b0d1f-0161-74be-838f-b629087db0f1,Video Virtuoso,Learn video editing,Develop multimedia creation skills.,39
psng-019b0d1f-0161-74be-838f-b62a330b23fb,Story Teller,Write a short story or novel,Complete creative writing project.,40
psng-019b0d1f-0161-74be-838f-b62b0320769a,Web Designer,Design personal website,Create online portfolio or blog.,41
psng-019b0d1f-0161-74be-838f-b62cbf7827b6,Design Apprentice,Learn graphic design,Develop design skills and software knowledge.,42
psng-019b0d1f-0161-74be-838f-b62d691959cc,Budget Boss,Create and stick to a budget,Develop financial planning habits.,43
psng-019b0d1f-0161-74be-838f-b62e501d10cf,Savings Superstar,Save money regularly,Build savings and emergency fund.,44
psng-019b0d1f-0161-74be-838f-b62f3a591230,Debt Destroyer,Reduce debt,Pay down student loans or credit card debt.,45
psng-019b0d1f-0161-74be-838f-b630b014ce85,Investment Initiate,Learn about investing,Understand basic investment principles.,46
psng-019b0d1f-0161-74be-838f-b631de3a6b47,Job Seeker,Find part-time job,Secure employment while studying.,47
psng-019b0d1f-0161-74be-838f-b632590cebca,Expense Tracker,Track expenses daily,Monitor spending habits consistently.,48
psng-019b0d1f-0161-74be-838f-b633a774a4f1,Spending Cutter,Cut unnecessary expenses,Identify and eliminate wasteful spending.,49
psng-019b0d1f-0161-74be-838f-b6340f60e69a,Scholarship Seeker,Apply for scholarships,Seek financial aid opportunities.,50
psng-019b0d1f-0161-74be-838f-b635ff5230b2,Financial Fitness,Learn financial literacy,Understand personal finance basics.,51
psng-019b0d1f-0161-74be-838f-b6364abad5fd,Side Hustler,Start a side hustle,Create additional income stream.,52
psng-019b0d1f-0161-74be-838f-b6371425734c,Gym Regular,Exercise regularly,Build a consistent workout routine.,53
psng-019b0d1f-0161-74be-838f-b638045c4ab7,Transformation Tracker,Lose weight,Achieve healthy weight loss goals.,54
psng-019b0d1f-0161-74be-838f-b639141b37dc,Muscle Builder,Build muscle,Increase muscle mass through strength training.,55
psng-019b0d1f-0161-74be-838f-b63a76fb4208,Sleep Schedule Savior,Improve sleep schedule,Develop healthy sleep habits and routines.,56
psng-019b0d1f-0161-74be-838f-b63be95fe82e,Meal Prep Master,Eat healthier,Improve nutritional choices and meal planning.,57
psng-019b0d1f-0161-74be-838f-b63caa2d5221,5K Runner,Run a 5K/10K,Train for and complete a running race.,58
psng-019b0d1f-0161-74be-838f-b63d77ee034a,Sports Explorer,Try a new sport,Explore different athletic activities.,59
psng-019b0d1f-0161-74be-838f-b63e77c5024b,Flexibility Focus,Improve flexibility,Work on stretching and mobility.,60
psng-019b0d1f-0161-74be-838f-b63fc373bc7c,Hydration Hero,Stay hydrated,Drink adequate water daily.,61
psng-019b0d1f-0161-74be-838f-b6404d2ce0e5,Smoke-Free Champion,Quit smoking/vaping,Eliminate tobacco or nicotine use.,62
psng-019b0d1f-0161-74be-838f-b64128f9a013,Yogi in Training,Practice yoga regularly,Develop consistent yoga practice.,63
psng-019b0d1f-0161-74be-838f-b642087c51b7,Mindful Drinker,Limit alcohol consumption,Drink less or abstain from alcohol.,64
psng-019b0d1f-0161-74be-838f-b64344602169,Language Learner,Learn a new language,Gain conversational proficiency in foreign language.,65
psng-019b0d1f-0161-74be-838f-b64484ff921f,English Enhancer,Improve English skills,Enhance academic or professional English.,66
psng-019b0d1f-0161-74be-838f-b645b71dee3e,Public Speaking Pro,Practice public speaking,Develop presentation and speaking abilities.,67
psng-019b0d1f-0161-74be-838f-b646fa565fbd,Debate Dynamo,Join debate team,Improve argumentation and speaking skills.,68
psng-019b0d1f-0161-74be-838f-b6476d122388,Daily Writer,Write regularly,Develop writing habit through journaling or blogging.,69
psng-019b0d1f-0161-74be-838f-b64873bcdf4b,Literary Explorer,Read books in target language,Improve language through literature.,70
psng-019b0d1f-0161-74be-838f-b649b3b7ed52,Exchange Partner,Find language exchange partner,Practice with native speaker.,71
psng-019b0d1f-0161-74be-838f-b64a16d30a3f,Film Buff,Watch foreign films,Improve listening skills through media.,72
psng-019b0d1f-0161-74be-838f-b64bdf4c93e2,Toastmaster Trainee,Join Toastmasters or speaking club,Practice public speaking regularly.,73
psng-019b0d1f-0161-74be-838f-b64ca828e4b4,Vocab Builder,Expand vocabulary,Learn new words daily.,74
psng-019b0d1f-0161-74be-838f-b64d961ea6ee,Early Bird,Wake up earlier,Develop early morning routine.,75
psng-019b0d1f-0161-74be-838f-b64e226f947e,Digital Detoxer,Reduce screen time,Limit phone and social media usage.,76
psng-019b0d1f-0161-74be-838f-b64f19925479,Kitchen Hero,Cook more meals at home,Learn cooking and meal preparation.,77
psng-019b0d1f-0161-74be-838f-b650e7deeb8b,Routine Rockstar,Develop a morning routine,Create consistent start-of-day habits.,78
psng-019b0d1f-0161-74be-838f-b6512ddd7fb6,Gratitude Guru,Practice gratitude daily,Maintain gratitude journal or practice.,79
psng-019b0d1f-0161-74be-838f-b652c815a9a2,Minimalist Maven,Minimize possessions,Adopt minimalist lifestyle approach.,80
psng-019b0d1f-0161-74be-838f-b65305630dd2,Night Routine Ninja,Develop evening routine,Create consistent end-of-day habits.,81
psng-019b0d1f-0161-74be-838f-b654dd96b8f0,Caffeine Cutter,Reduce caffeine intake,Cut back on coffee or energy drinks.,82
psng-019b0d1f-0161-74be-838f-b6557f8bb9f4,Sustainability Starter,Practice sustainable living,Adopt eco-friendly habits.,83
psng-019b0d1f-0161-74be-838f-b656283e1722,Time Blocker,Learn time blocking,Implement structured scheduling method.,84
psng-019b0d1f-0161-74be-838f-b65786ecc794,Zen Seeker,Reduce stress and anxiety,Learn stress management techniques.,85
psng-019b0d1f-0161-74be-838f-b6580b831e9e,Mindfulness Beginner,Practice mindfulness,Develop regular meditation or mindfulness practice.,86
psng-019b0d1f-0161-74be-838f-b659ebe8fe13,EQ Champion,Improve emotional intelligence,Better understand and manage emotions.,87
psng-019b0d1f-0161-74be-838f-b65aa5f58614,Confidence Cultivator,Build self-confidence,Work on self-esteem and confidence.,88
psng-019b0d1f-0161-74be-838f-b65b8ef4fe3b,Action Taker,Overcome procrastination,Develop strategies to combat procrastination.,89
psng-019b0d1f-0161-74be-838f-b65c1b0a3c65,Therapy Advocate,Start therapy or counseling,Seek professional mental health support.,90
psng-019b0d1f-0161-74be-838f-b65dca4569ab,Coping Toolkit Builder,Develop coping strategies,Build toolkit for managing difficult emotions.,91
psng-019b0d1f-0161-74be-838f-b65e766c93db,Self-Love Student,Practice self-compassion,Be kinder to yourself.,92
psng-019b0d1f-0161-74be-838f-b65fc22a8a02,Boundary Setter,Set healthy boundaries,Learn to say no and prioritize self.,93
psng-019b0d1f-0161-74be-838f-b6606bdeb23e,Journal Keeper,Journal regularly,Maintain reflective writing practice.,94
psng-019b0d1f-0161-74be-838f-b661b366b6fd,Social Butterfly,Make new friends,Expand social circle and build connections.,95
psng-019b0d1f-0161-74be-838f-b6621e2343c1,Communication Ace,Improve communication skills,Enhance verbal and interpersonal communication.,96
psng-019b0d1f-0161-74be-838f-b6639526bbdf,Campus Explorer,Join a club or organization,Become active in campus community.,97
psng-019b0d1f-0161-74be-838f-b664a5e3b060,Networking Navigator,Network professionally,Build career-related connections.,98
psng-019b0d1f-0161-74be-838f-b6653570fd06,Leadership Legend,Develop leadership skills,Take on leadership roles and responsibilities.,99
psng-019b0d1f-0161-74be-838f-b6668eceb86b,Active Listener,Improve active listening,Become better at truly hearing others.,100
psng-019b0d1f-0161-74be-838f-b6671df822f4,Reconnection Specialist,Reconnect with old friends,Reach out to past connections.,101
psng-019b0d1f-0161-74be-838f-b6681be8f267,Event Enthusiast,Attend more social events,Say yes to invitations and gatherings.,102
psng-019b0d1f-0161-74be-838f-b6690eb70052,Small Talk Specialist,Learn small talk skills,Get better at casual conversation.,103
psng-019b0d1f-0161-74be-838f-b66a59e8b1a1,Study Buddy Finder,Find a study partner,Connect with someone for mutual academic support.,104
